"Observed"	"Chao1"	"se.chao1"	"Shannon"	"InvSimpson"
"V1"	15	120	56.1540848914841	2.70805020110221	15
"V2"	17	153	68.0277721065285	2.83321334405622	17
"V3"	74	2775	632.270516999383	4.30406509320417	74
"V4"	13	91	45.0642398613991	2.56494935746154	13
"V5"	65	2145	520.015151294419	4.17438726989564	65
"V6"	68	2346	556.618816827438	4.21950770517611	68
"V7"	51	1326	360.641455763733	3.93182563272433	51
"V8"	209	21945	3014.24945092156	5.34233425196481	209
"V9"	111	6216	1164.18952686592	4.70953020131233	111
"V10"	72	2628	606.697211835785	4.27666611901606	72
"V11"	380	72390	7397.81687400495	5.94017125272043	380
"V12"	197	19503	2758.00883836968	5.28320372873799	197
"V13"	299	44850	5161.54746676485	5.70044357339069	299
"V14"	381	72771	7427.0636695338	5.9427993751267	381
"V15"	236	27966	3617.81957843529	5.46383180502561	236
"V16"	120	7260	1309.05672303848	4.78749174278205	120
