"Observed"	"Chao1"	"se.chao1"	"Shannon"	"InvSimpson"
"V1"	15	15	0	0.510900535040855	1.22655405642094
"V2"	17	17	0	0.72889798230512	1.38270702028323
"V3"	74	74	0	2.53146153139475	8.07828815015085
"V4"	13	13	0	0.987903361893364	1.95987831580532
"V5"	65	65	0	3.11072642170004	13.5257470357905
"V6"	68	68	0	2.40323955714101	4.2025423010073
"V7"	51	60	7.61113219786211	1.45341783771204	3.24656632099531
"V8"	209	209	0	2.9208232577934	8.65137070904442
"V9"	111	111	0	2.02727959246992	4.09086472972891
"V10"	72	72	0	1.06547861167163	1.60511703228833
"V11"	380	380.352941176471	0.72755580722431	3.54875657897225	13.7376559404398
"V12"	197	197	0	2.55986940044696	3.69825952856473
"V13"	299	299	0	2.63978809503131	4.47370823671479
"V14"	381	385	3.6885915838399	3.90152753076279	17.8673721640748
"V15"	236	236	0	3.59184889190287	10.6856302906325
"V16"	120	120	0	2.73341849388683	9.51163299848103
