"Observed"	"Chao1"	"se.chao1"	"Shannon"	"InvSimpson"
"V1"	42	903	268.94983106131	3.73766961828337	42
"V2"	36	666	212.998858009881	3.58351893845611	36
"V3"	121	7381	1325.49981293788	4.79579054559674	121
"V4"	18	171	74.2430220006532	2.89037175789616	18
"V5"	239	28680	3687.12045532599	5.47646355193151	239
"V6"	145	10585	1740.01027394227	4.97673374242057	145
"V7"	390	76245	7692.00864542408	5.96614673912369	390
"V8"	494	122265	10968.5856426893	6.20253551718792	494
"V9"	905	409965	27210.2705931152	6.80793494369993	905
"V10"	883	390286	26223.7662865303	6.78332520060396	883
"V11"	957	458403	29589.7259661275	6.86380339145296	957
"V12"	929	431985	28300.2169558917	6.83410873881384	929
"V13"	992	492528	31228.3152203333	6.89972310728487	992
"V14"	1106	612171	36765.1473001327	7.00850518208228	1106
"V15"	662	219453	17019.9720622789	6.49526555593701	662
"V16"	327	53628	5904.14559877417	5.78996017089725	327
