"Observed"	"Chao1"	"se.chao1"	"Shannon"	"InvSimpson"
"V1"	42	42	0	0.255977807768067	1.08761972480974
"V2"	36	36	0	0.0748192616583913	1.01755836181008
"V3"	121	121	0	1.29522347386009	2.12849025510368
"V4"	18	18	0	0.0309584733035088	1.00673209855614
"V5"	239	239	0	1.31236428887115	1.61786172665949
"V6"	145	145	0	1.06675701961728	2.09248818293305
"V7"	390	390	0	2.79601991129329	4.76267474107871
"V8"	494	494	0	3.67401256217323	6.1584881491568
"V9"	905	905	0	4.04366113299146	13.6047792811518
"V10"	883	923.313432835821	12.3798609391405	4.37311802452769	27.6862734908157
"V11"	957	1021.4128440367	15.5811995709272	4.05625835378572	18.6437518059027
"V12"	929	929	0	3.52838082051537	7.12232629725004
"V13"	992	1010.8125	7.72927671837375	5.20813478300814	50.321580363148
"V14"	1106	1151.31034482759	13.9340534832742	4.86513594236288	38.6404792081531
"V15"	662	662	0	3.511752536079	5.08962835676491
"V16"	327	327	0	2.5911143184788	3.57623050085461
