"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU2"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium"
"OTU4"	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Cordycipitaceae,g:Simplicillium,s:Simplicillium chinense"
"OTU5"	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes"
"OTU6"	1	1	1	0	1	1	1	1	0	0	1	1	1	1	0	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Cladosporiaceae,g:Cladosporium"
"OTU7"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria"
"OTU8"	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes"
"OTU9"	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Corynesporascaceae,g:Corynespora"
"OTU10"	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales"
"OTU11"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Chalara"
"OTU12"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Morosphaeriaceae,g:Acrocalymma"
"OTU14"	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae"
"OTU15"	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales"
"OTU16"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
"OTU17"	0	0	1	0	0	0	1	0	0	0	1	1	0	1	1	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae"
