"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU2"	95891	99146	64853	99674	78365	62325	13295	39232	6289	1903	0	34409	2542	5440	43716	52116	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acidisphaera"
"OTU3"	0	0	0	0	0	0	42133	0	0	0	0	0	0	0	0	358	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__\"Enterobacteriales\"; f__Enterobacteriaceae; g__Erwinia"
"OTU4"	0	0	0	0	0	0	0	0	1574	5689	950	11701	10429	1780	0	1561	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium"
"OTU5"	0	0	0	0	0	0	129	0	2752	3454	809	951	3253	9852	3053	4769	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium"
"OTU6"	0	0	0	0	0	314	0	0	22295	4700	13032	0	0	436	0	3266	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__\"Enterobacteriales\"; f__Enterobacteriaceae; g__Enterobacter"
"OTU7"	0	0	0	0	0	0	0	0	8589	11974	345	0	0	107	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales"
"OTU8"	0	0	0	0	0	0	141	2238	1005	6457	1583	95	0	245	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium"
"OTU9"	0	0	0	0	0	0	0	0	77	311	68	0	698	4810	0	2161	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dyella"
"OTU10"	0	0	0	0	0	0	9533	0	0	59	80	159	38	0	0	219	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Luteibacter"
"OTU12"	0	0	1021	0	0	0	7115	323	0	36	221	43	1168	446	56	499	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Curtobacterium"
"OTU13"	0	0	0	0	0	0	0	0	2023	4985	10564	904	0	3209	0	3978	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas"
"OTU14"	0	80	410	0	59	4021	322	745	18	14	208	44	2343	674	170	165	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium"
"OTU15"	0	0	0	0	0	0	0	0	807	5923	609	0	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia"
"OTU17"	0	0	0	0	0	0	0	0	54	42	299	0	56	6545	1061	1502	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia"
"OTU18"	0	0	0	0	0	0	0	0	1006	30	3338	0	0	0	0	0	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto"
"OTU19"	0	0	0	0	0	0	0	0	1370	2687	1466	0	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas"
"OTU20"	0	0	0	0	0	0	0	0	158	845	89	403	568	2306	249	877	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp1; o__; f__; g__Edaphobacter"
"OTU21"	0	0	0	0	0	0	0	0	34	539	31	3555	309	798	777	24	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Actinosynnema"
"OTU23"	0	0	0	0	0	0	0	0	0	0	0	5771	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae"
"OTU24"	0	0	0	0	0	0	0	0	0	0	0	68	734	312	6375	90	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp1; o__; f__; g__Gp1"
"OTU26"	0	0	0	0	0	0	0	0	2412	1510	4528	0	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas"
