#OTU ID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	Taxonomy
OTU2	0	0	0	0	0	0	0	0	12376	66471	38020	628	21746	5372	0	14838	GSL|100.0|MG787462|SH1546322.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium
OTU4	0	0	0	0	0	0	0	0	864	0	12222	23505	67110	18507	0	0	GSL|100.0|MH973234|SH1529400.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Cordycipitaceae,g:Simplicillium,s:Simplicillium chinense
OTU5	0	0	0	0	0	0	74018	0	0	0	7260	0	0	2050	0	5955	GSL|100.0|MG839500|SH1610157.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes
OTU6	691	251	9501	0	333	231	38648	225	0	0	452	256	1250	1176	0	283	GSL|100.0|MG888624|SH1572816.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Cladosporiaceae,g:Cladosporium
OTU7	0	0	0	0	0	0	36320	0	0	0	0	0	0	0	0	0	GS|100.0|MG571386|SH1525091.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria
OTU8	0	0	0	0	0	118	0	0	129	2023	28569	174	6592	4308	152	0	GSL|100.0|MG820082|SH1610157.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes
OTU9	18674	0	0	0	0	0	0	0	0	0	613	0	0	390	0	0	GSL|100.0|MG571432|SH1591179.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Corynesporascaceae,g:Corynespora
OTU10	0	0	0	0	0	212	0	0	0	0	13190	652	3375	450	0	0	GS|100.0|AF502847|SH1198331.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales
OTU11	0	0	17244	0	0	0	0	0	0	0	0	0	0	0	0	0	GS|99.7|MK584987|SH2712417.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Chalara
OTU12	0	0	0	0	0	0	0	16283	0	0	0	0	0	0	0	0	GS|100.0|KT328829|SH1612879.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Morosphaeriaceae,g:Acrocalymma
