#OTU_ID	V1.ITS	V2.ITS	V3.ITS	V4.ITS	V5.ITS	V6.ITS	V7.ITS	V8.ITS	V9.ITS	V10.ITS	V11.ITS	V12.ITS	V13.ITS	V14.ITS	V15.ITS	V16.ITS	taxonomy
New.CleanUp.ReferenceOTU2	21	0	6	5	23	434	53	0	0	8	0	5	6	0	468	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Bipolaris
New.CleanUp.ReferenceOTU10	207	0	0	0	9	32	0	0	5	5	13	0	5	0	0	12	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium
New.CleanUp.ReferenceOTU11	7	18	0	1272	0	6	0	0	8	0	1079	0	0	0	8	50	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Cyphellophoraceae
New.CleanUp.ReferenceOTU14	62	15083	101	0	35	0	0	0	9	24	9	0	7	213	0	1729	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Corynesporascaceae; g__Corynespora
New.CleanUp.ReferenceOTU20	7	0	0	15	6	331	0	0	6	0	30	12	0	18	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium
New.CleanUp.ReferenceOTU22	231	176	0	0	120	6	0	5	0	0	0	13	7	27	24	0	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiaceae; g__Tetracladium; s__unidentified
New.CleanUp.ReferenceOTU23	67	0	478	25	0	13	0	14	0	0	72	0	6	11	30	8	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Curvularia
New.CleanUp.ReferenceOTU24	524	0	15197	0	19	0	110	18	5	0	8	0	0	10	0	53	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales
New.CleanUp.ReferenceOTU25	12231	38	11691	0	5	359	0	0	17	0	10	0	10	0	239	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Corynesporascaceae; g__Corynespora
New.CleanUp.ReferenceOTU27	18	0	12	275	0	0	34	0	0	14	6	0	8	0	740	0	Unclassified
New.CleanUp.ReferenceOTU28	10	388	0	11	0	0	0	0	22	5	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Atheliaceae; g__Amphinema; s__Amphinema_byssoides
New.CleanUp.ReferenceOTU33	150	24	0	0	0	0	0	0	0	0	0	0	9	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales
New.CleanUp.ReferenceOTU35	9	7	0	5	0	0	0	0	0	0	0	5	45	0	9	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria
New.CleanUp.ReferenceOTU37	208	0	0	109	0	14	0	0	0	0	17	0	0	8	9	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideomycetes_ord_Incertae_sedis; f__Dothideomycetes_fam_Incertae_sedis; g__Gonatophragmium; s__Gonatophragmium_triuniae
New.CleanUp.ReferenceOTU38	33	24	0	22127	6	0	16	9	9	0	0	0	5	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium; s__Acremonium_alternatum
New.CleanUp.ReferenceOTU39	63	0	6	0	23	0	0	0	57	412	0	0	5	15	0	6	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Glomerellaceae; g__Colletotrichum
New.CleanUp.ReferenceOTU40	11	0	0	0	209	0	0	0	0	0	0	0	71	0	0	27	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae; g__Gibellulopsis; s__Gibellulopsis_piscis
New.CleanUp.ReferenceOTU48	13	0	7	0	0	0	5	0	12	8	128	14761	0	25	55	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae
New.CleanUp.ReferenceOTU49	5	0	0	0	0	0	0	0	9	0	0	1846	42	11	101	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales
New.CleanUp.ReferenceOTU4	0	10	25	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Hysteriales; f__Hysteriaceae; g__Rhytidhysteron; s__Rhytidhysteron_rufulum
New.CleanUp.ReferenceOTU13	0	5314	11	0	16	0	0	51	12	492	0	6	0	0	6	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Ijuhya; s__unidentified
New.CleanUp.ReferenceOTU34	0	175	0	0	7	40	0	68	364	0	0	0	7	0	0	12	Unclassified
New.CleanUp.ReferenceOTU41	0	103	10	0	0	0	8	20	0	0	0	0	8	774	0	7	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Periconiaceae; g__Periconia; s__Periconia_byssoides
New.CleanUp.ReferenceOTU42	0	13	0	0	0	6	11	0	7	0	211	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Biatriosporaceae; g__Biatriospora; s__unidentified
New.CleanUp.ReferenceOTU5	0	0	8	31	87	53	0	0	0	0	6	6	0	0	9	23	Unclassified
New.CleanUp.ReferenceOTU6	0	0	19	0	290	0	191	7	0	8	8	17	0	6	0	7	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
New.CleanUp.ReferenceOTU50	0	0	19	0	6	45	33	55	0	0	0	14	0	27	47	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Filobasidium; s__Filobasidium_magnum
New.CleanUp.ReferenceOTU51	0	0	443	0	0	9	0	0	23	0	6	44	52	125	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales
New.CleanUp.ReferenceOTU55	0	0	15	0	6	0	7	386	6	0	18	6	84	0	0	98	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Cyphellophoraceae; g__Cyphellophora
New.CleanUp.ReferenceOTU56	0	0	9	0	5	17	0	21	11	0	0	9	0	5	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Gibberella
New.CleanUp.ReferenceOTU58	0	0	10	0	0	0	12	6	47	0	6	0	25	8	0	0	k__Fungi; p__Basidiomycota; c__Atractiellomycetes; o__Atractiellales; f__Hoehnelomycetaceae; g__Atractiella; s__unidentified
