"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU2"	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acidisphaera"
"OTU3"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__\"Enterobacteriales\"; f__Enterobacteriaceae; g__Erwinia"
"OTU4"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium"
"OTU5"	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium"
"OTU6"	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__\"Enterobacteriales\"; f__Enterobacteriaceae; g__Enterobacter"
"OTU7"	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales"
"OTU8"	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium"
"OTU9"	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dyella"
"OTU10"	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Luteibacter"
"OTU12"	0	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Curtobacterium"
"OTU13"	0	0	0	0	0	0	0	0	1	1	1	1	0	1	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas"
"OTU14"	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium"
"OTU15"	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia"
"OTU17"	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia"
"OTU18"	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto"
"OTU19"	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas"
"OTU20"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp1; o__; f__; g__Edaphobacter"
"OTU21"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Actinosynnema"
"OTU23"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae"
"OTU24"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp1; o__; f__; g__Gp1"
"OTU26"	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas"
"OTU27"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Kribbella"
"OTU28"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium_XlVa"
"OTU29"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dyella"
"OTU30"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	"k__Bacteria; p__Candidatus_Saccharibacteria; c__; o__; f__; g__Saccharibacteria_genera_incertae_sedis"
"OTU31"	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__Mesorhizobium"
"OTU32"	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto"
"OTU33"	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp1; o__; f__; g__Acidipila"
"OTU34"	1	0	1	0	0	1	0	1	0	1	1	0	0	1	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__\"Enterobacteriales\"; f__Enterobacteriaceae; g__Pantoea"
"OTU36"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Solirubrobacterales"
"OTU37"	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces"
"OTU38"	0	0	1	0	0	0	0	1	1	1	1	1	1	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax"
"OTU39"	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Sphingobacteriia; o__\"Sphingobacteriales\"; f__Chitinophagaceae"
"OTU40"	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__\"Enterobacteriales\"; f__Enterobacteriaceae; g__Citrobacter"
"OTU41"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__\"Enterobacteriales\"; f__Enterobacteriaceae; g__Pectobacterium"
"OTU43"	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas"
"OTU44"	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Actinospicaceae; g__Actinospica"
"OTU46"	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Pseudonocardia"
"OTU47"	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Clostridium_XlVa"
"OTU48"	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Amycolatopsis"
"OTU49"	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Lentzea"
"OTU50"	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax"
"OTU51"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Saccharothrix"
"OTU52"	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Labrys"
"OTU53"	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Xanthomonas"
"OTU55"	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Actinophytocola"
"OTU56"	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	"k__Bacteria; p__\"Bacteroidetes\"; c__Sphingobacteriia; o__\"Sphingobacteriales\"; f__Chitinophagaceae"
"OTU57"	0	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium"
"OTU58"	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia"
"OTU59"	0	0	0	0	1	1	1	1	0	0	1	0	1	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium"
"OTU60"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"k__Bacteria; p__Candidatus_Saccharibacteria; c__; o__; f__; g__Saccharibacteria_genera_incertae_sedis"
"OTU61"	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Pseudoduganella"
"OTU62"	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dyella"
"OTU63"	0	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas"
"OTU64"	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Roseiarcaceae; g__Roseiarcus"
"OTU65"	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia"
"OTU66"	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium"
"OTU67"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	"k__Bacteria; p__\"Bacteroidetes\"; c__Sphingobacteriia; o__\"Sphingobacteriales\"; f__Chitinophagaceae; g__Niastella"
"OTU68"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp1; o__; f__; g__Terriglobus"
"OTU69"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Catenulisporaceae; g__Catenulispora"
"OTU71"	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Acidobacteria\"; c__Acidobacteria_Gp3; o__; f__; g__Gp3"
"OTU72"	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas"
"OTU73"	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Phytohabitans"
"OTU74"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Lacibacterium"
"OTU75"	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dokdonella"
