"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU2"	0	0	0	0	0	0	0	0	40943	78565	18831	1363	14358	5181	0	23136	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium"
"OTU4"	0	0	0	0	0	0	0	0	2859	0	6054	50985	44310	17848	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Cordycipitaceae,g:Simplicillium,s:Simplicillium chinense"
"OTU5"	0	0	0	0	0	0	44999	0	0	0	3596	0	0	1977	0	9285	"k:Fungi,p:Ascomycota,c:Sordariomycetes"
"OTU6"	3338	2257	10234	0	3477	851	23496	301	0	0	224	556	826	1135	0	442	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Cladosporiaceae,g:Cladosporium"
"OTU7"	0	0	0	0	0	0	22081	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Leptosphaeriaceae,g:Leptosphaeria"
"OTU8"	0	0	0	0	0	435	0	0	427	2392	14150	378	4353	4155	552	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes"
"OTU9"	90196	0	0	0	0	0	0	0	0	0	304	0	0	377	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Corynesporascaceae,g:Corynespora"
"OTU10"	0	0	0	0	0	781	0	0	0	0	6533	1415	2229	434	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales"
"OTU11"	0	0	18574	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,g:Chalara"
"OTU12"	0	0	0	0	0	0	0	21720	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Morosphaeriaceae,g:Acrocalymma"
"OTU14"	0	84753	0	0	0	0	0	9271	0	0	230	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae"
"OTU15"	0	0	0	0	0	47036	0	0	0	0	61	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales"
"OTU16"	0	0	0	0	0	0	0	20281	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
"OTU17"	0	0	21274	0	0	0	1543	0	0	0	126	230	0	888	447	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae"
"OTU18"	0	0	10214	0	0	0	83	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria"
"OTU19"	0	0	0	0	0	0	0	0	24207	5092	0	1126	0	0	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Rhizoctonia,s:Rhizoctonia bicornis"
"OTU20"	0	0	0	0	0	0	0	0	11116	766	397	226	3876	229	0	2802	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU21"	0	0	0	0	0	174	0	0	5601	463	2105	5618	852	480	0	1988	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae"
"OTU22"	0	0	0	67254	0	0	52	479	4129	381	3069	3295	406	9274	0	9501	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaetopsis,s:Pyrenochaetopsis leptospora"
"OTU23"	0	0	0	0	0	0	0	0	0	0	0	0	0	7145	0	0	"k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Ostropales,f:Stictidaceae,g:Cryptodiscus"
"OTU24"	0	0	0	0	0	0	0	0	173	587	715	289	216	182	0	7106	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala"
"OTU25"	0	0	0	0	0	0	0	0	0	1173	0	0	0	0	636	9568	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae"
"OTU26"	0	0	6703	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi"
"OTU27"	0	0	0	0	0	0	0	0	216	5038	0	953	3248	546	0	0	"k:Fungi,p:Ascomycota"
"OTU28"	0	0	0	0	0	630	0	0	255	170	639	46	106	826	1057	4603	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Edenia,s:Edenia gomezpompae"
